id,title,fileType,date,description,name,tags,digital,thumbPath
az225,azur365 2023 Day 225,png,13/8/2023,IJN Ibuki,225_ibuki,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\225_ibuki.jpg
az226,azur365 2023 Day 226,png,14/8/2023,IJN Zuikaku,226_zuikaku,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\226_zuikaku.jpg
az227,azur365 2023 Day 227,png,15/8/2023,IJN Fubuki,227_fubuki,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\227_fubuki.jpg
az228,azur365 2023 Day 228,png,16/8/2023,USS Georgia,228_georgia,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\228_georgia.jpg
az229,azur365 2023 Day 229,png,17/8/2023,USS Halsey Powell,229_halsey_powell,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\229_halsey_powell.jpg
az230,azur365 2023 Day 230,png,18/8/2023,USS Biloxi,230_biloxi,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\230_biloxi.jpg
az231,azur365 2023 Day 231,png,19/8/2023,HMS Dido,231_dido,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\231_dido.jpg
az232,azur365 2023 Day 232,png,20/8/2023,PRAN Chang Chun,232_chang_chun,"azur365, fanart, azur lane, chibi, PRAN",1,.\public\assets\thumbnails\azur365\232_chang_chun.jpg
az233,azur365 2023 Day 233,png,21/8/2023,HMS Gloucester,233_gloucester,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\233_gloucester.jpg
az234,azur365 2023 Day 234,png,22/8/2023,IJN Taihou,234_taihou,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\234_taihou.jpg
az235,azur365 2023 Day 235,png,23/8/2023,HMS Newcastle,235_newcastle,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\235_newcastle.jpg
az236,azur365 2023 Day 236,png,24/8/2023,PRAN An Shan,236_an_shan,"azur365, fanart, azur lane, chibi, PRAN",1,.\public\assets\thumbnails\azur365\236_an_shan.jpg
az237,azur365 2023 Day 237,png,25/8/2023,IJN Uranami,237_uranami,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\237_uranami.jpg
az238,azur365 2023 Day 238,png,26/8/2023,PRAN Fu Shun,238_fu_shun,"azur365, fanart, azur lane, chibi, PRAN",1,.\public\assets\thumbnails\azur365\238_fu_shun.jpg
az239,azur365 2023 Day 239,png,27/8/2023,HMS Curlew,239_curlew,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\239_curlew.jpg
az240,azur365 2023 Day 240,png,28/8/2023,USS Seattle,240_seattle,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\240_seattle.jpg
az241,azur365 2023 Day 241,png,29/8/2023,USS Hazelwood,241_hazelwood,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\241_hazelwood.jpg
az242,azur365 2023 Day 242,png,30/8/2023,IJN Nowaki,242_nowaki,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\242_nowaki.jpg
az243,azur365 2023 Day 243,png,31/8/2023,SN Grozny,243_grozny,"azur365, fanart, azur lane, chibi, SN",1,.\public\assets\thumbnails\azur365\243_grozny.jpg
az244,azur365 2023 Day 244,png,1/9/2023,IJN Ise,244_ise,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\244_ise.jpg
az245,azur365 2023 Day 245,png,2/9/2023,SN Tashkent,245_tashkent,"azur365, fanart, azur lane, chibi, SN",1,.\public\assets\thumbnails\azur365\245_tashkent.jpg
